state,Cluster,country
AL,1,US
AR,1,US
BC,1,Canada
CA,1,US
CO,1,US
CT,1,US
DC,1,US
DE,1,US
FL,1,US
GA,1,US
HI,1,US
IL,1,US
IN,1,US
KS,1,US
KY,1,US
LA,1,US
MA,1,US
MB,1,Canada
MD,1,US
MI,1,US
MN,1,US
MO,1,US
NC,1,US
ND,1,Canada|US
NH,1,US
NJ,1,US
NY,1,US
OH,1,US
OK,1,US
OR,1,US
PA,1,US
QC,1,Canada
RI,1,US
SD,1,US
TN,1,US
TX,1,US
UT,1,US
VA,1,US
VT,1,US
WA,1,US
WI,1,US
WV,1,US
WY,1,US
IA,2,US
NL,2,Canada
YT,2,Canada
AB,3,Canada
AZ,3,US
ID,3,US
NB,3,Canada
NE,3,US
NS,3,Canada
ON,3,Canada
Canada,4,Canada
SK,4,Canada
