JobClear,companyClear,dateClean,skills,education,language,dateColect,country,cityClear,stateClear,url
Data Scientist,FreshBooks,2017-12-30, model model scripting python sql spark hadoop sas,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=303798&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4c62de4f&cb=1516841977872&jobListingId=2602162136
Data Scientist,Wawanesa Insurance,2018-01-05, mathematica model mathematica python r,,,2018-01-24,canada,Winnipeg,MB,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=257914&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a00be3c2&cb=1516841977873&jobListingId=2628583945
Data Scientist Staff,realtor com,2018-01-15, value algorithm server feature feature model visualization mathematica econometrics algorithm r perl python spark model deep learning r sas scala spark python, phd,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=133562&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a8c530a8&cb=1516841977874&jobListingId=2637474118
Data Scientist,Government of Canada,2018-01-03,,,,2018-01-24,canada,Ottawa,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=4120&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e5173b0e&cb=1516841977875&jobListingId=2581271889
Data Scientist,BOEING,2018-01-14, mathematica mathematica value machine learning machine learning hadoop spark cassandra pig hive mathematica visualization tableau database sql nosql java python r, master phd master,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=133200&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2e7dd000&cb=1516841977876&jobListingId=2636642215
Data Scientist,Amazon,2018-01-15, model model visualization algorithm regression python java scala, master phd,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=133043&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b102d249&cb=1516841977877&jobListingId=2545188661
Data Scientist,Sitecore,2018-01-10, r model algorithm feature algorithm feature r model algorithm algorithm r, phd, english,2018-01-24,canada,Ottawa,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=247822&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_11b69f0d&cb=1516841977878&jobListingId=2493927078
Data Scientist,B Yond,2018-01-17, model perceptron feature cloud model algorithm python sql r spark scala java, phd,,2018-01-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4134&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_96ef00e9&cb=1516841977879&jobListingId=2638834872
Data Scientist,Shaw Direct,2018-01-17, mean mathematica regression sql r python spark r python sas spss visualization tableau model scripting, master,,2018-01-24,canada,Calgary,AB,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=5920&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0a026606&cb=1516841977880&jobListingId=2639038559
Data Scientist,Unata,2018-01-19, value algorithm algorithm scala python pandas spark elasticsearch hadoop algorithm mathematica econometrics,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4120&s=58&guid=000001612ad3c5e89186850775614a17&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9cf0e2df&cb=1516841977881&jobListingId=2572394867
