id,company,dateClear,rating,city,state,title,status,position,recommend,pros,cons,adviceManag,outlook,ceo,dateCollect
626754,"
iFood
",2018-01-25,5,Salvador,BA,"
Empresa humana que valoriza de ponta a ponta desde os funcionários e a seus clientes.
",Funcionário,Executivo de Vendas Pleno,NI, Empresa que escuta suas opiniões e valoriza seus funcionários. Com valores e cultura organizacional colocada em prática. Não fica só no papel., Devido o crescimento as vezes o retorno das demandas internas não tem tanta velocidade como se deseja. Porém sempre consigo solucionar falando com gestão., Devido o crescimento as vezes o retorno das demandas internas não tem tanta velocidade como se deseja. Porém sempre consigo solucionar falando com gestão.,NI,NI,2018-01-28
626351,"
iFood
",2018-01-25,5,Campinas,SP,"
A melhor empresa do Brasil
",Funcionário,Coordenador de Tecnologia,NI," Ambiente e estrutura espetaculares. Com um ambiente descontraido as pessoas rendem mais, evoluem mais. Os lideres ajudam no crescimento, indicando pontos positivos. Sempre tem espaço para crescer, basta aproveitar as oportunidades."," No geral, pessoas bem jovens assumem lideranças, o que é bem legal pelas oportunidades, mas pode trazer alguns problemas. Em linhas gerais, a assertividade é maior que os erros."," No geral, pessoas bem jovens assumem lideranças, o que é bem legal pelas oportunidades, mas pode trazer alguns problemas. Em linhas gerais, a assertividade é maior que os erros.",NI,NI,2018-01-28
626309,"
iFood
",2018-01-25,5,Campinas,SP,"
Exceletente lugar para se trabalhar.
",Funcionário,Desenvolvedor Back-End Pleno,Sim, O ambiente sem dúvidas é o ponto forte com baixa pressão e grande liberdade para desenvolver seu trabalho. Sempre visam reconhecer o trabalho dos colaboradores.," Não consigo pensar em pontos negativos, é um excelente lugar para se trabalhar onde a diretoria é transparente sobre as coisas boas e ruins."," Não consigo pensar em pontos negativos, é um excelente lugar para se trabalhar onde a diretoria é transparente sobre as coisas boas e ruins.",NI,NI,2018-01-28
617630,"
iFood
",2018-01-24,4,Jundiai,SP,"
Vale a pena!
",Funcionário,Analista de Vendas Sênior,NI," Instalações agradáveis, bons benefícios, regalias alimentares, festas bem produzidas, possibilidade de aprendizado e desenvolvimento com foco em resultados que sejam alinhados aos da empresa."," Ausência de processos bem construídos, remuneração igual pra todos os níveis de profissionais no campo de vendas, mudanças repentinas no comissionamento"," Ausência de processos bem construídos, remuneração igual pra todos os níveis de profissionais no campo de vendas, mudanças repentinas no comissionamento",NI,NI,2018-01-28
612844,"
iFood
",2018-01-28,5,NI,NI,"
iFood
",Funcionário,Funcionário,Sim," Adoro trabalhar no IFood, consigo conciliar a minha vida pessoal com a profissional, os lideres são humanos, as pessoas se preocupam umas com as outras. Ambiente harmonioso e descontraído."," A localização da empresa, não temos restaurante para almoçar, acesso é perigoso."," A localização da empresa, não temos restaurante para almoçar, acesso é perigoso.",NI,NI,2018-01-28
606601,"
iFood
",2018-01-28,3,Sao Paulo,SP,"
Divertido e bom para adquirir experiência
",Ex-funcionário,Analista Pleno,Sim," Free de biscoitos, frutas, barra de cereal, energético, refrigerante e cerveja, todo final de mês dão uma festa, é uma empresa que gosta muito de festas! Ambiente descolado e informal com muitas pessoas jovens. Você aprende muito todos os dias."," Falha total na comunicação e objetivos das áreas, favorecimento de alguns profissionais, nem todas as áreas são tratadas de forma """"""""""""""""""""""""""""""""descolada"""""""""""""""""""""""""""""""", com rotinas super amarradas e engessadas. Processos muito burocráticos que não facilitam as atividades diárias, muita burocracia."," Falha total na comunicação e objetivos das áreas, favorecimento de alguns profissionais, nem todas as áreas são tratadas de forma """"""""""""""""""""""""""""""""descolada"""""""""""""""""""""""""""""""", com rotinas super amarradas e engessadas. Processos muito burocráticos que não facilitam as atividades diárias, muita burocracia.",NI,NI,2018-01-28
604005,"
iFood
",2017-11-29,3,Jundiai,SP,"
iFood
",Ex-funcionário,Analista de Suporte,Sim," Ambiente jovem, divertido, benefícios bons, o rh é muito bom também. É uma empresa transparente, em que todos independentemente do cargo sabe o rumo que as coisas estão tomando. O escritória além de bem localizado é muito bonito e pensado no bem estar das pessoas. A empresa se preocupa com as pessoas."," Colocam pessoas inexperientes em Gestão para ser supervisor, pessoas desequilibradas emocionalmente que só causam problemas e discórdias entre os subordinados da equipe."," Colocam pessoas inexperientes em Gestão para ser supervisor, pessoas desequilibradas emocionalmente que só causam problemas e discórdias entre os subordinados da equipe.",NI,NI,2018-01-28
603319,"
iFood
",2017-11-29,4,Sao Paulo,SP,"
Empresa maravilhosa, só falta mudar para um lugar maior!
",Funcionário,Funcionário,Sim," Ambiente, receptividade das pessoas, recursos, toda a área de facilites, benefícios, organização, praticidade na contratação, no geral a empresa é muito boa.", Estrutura. A empresa fica em um lugar pequeno demais para o porte dela. Estamos muito apertados e os locais que seriam de convívio legais ficam sempre abarrotados., Estrutura. A empresa fica em um lugar pequeno demais para o porte dela. Estamos muito apertados e os locais que seriam de convívio legais ficam sempre abarrotados.,NI,NI,2018-01-28
602470,"
iFood
",2017-11-29,4,Jundiai,SP,"
Vale a pena
",Funcionário,Analista de Vendas,NI," Bons recursos de aprendizado, e de remuneração. Os benefícios são muito bons, o ambiente é agradável. Indico aos amigos que tenham garra e determinação para crescer!"," Poucos processos estabelecidos,as áreas ainda não se completam, a operação de modo geral, porém se explica pelo fato da empresa ter apenas cinco anos e ter crescido de forma absurda"," Poucos processos estabelecidos,as áreas ainda não se completam, a operação de modo geral, porém se explica pelo fato da empresa ter apenas cinco anos e ter crescido de forma absurda",NI,NI,2018-01-28
601695,"
iFood
",2017-11-29,3,Campinas,SP,"
iFood
",Funcionário,Analista de Business Intelligence (BI),Sim," Ambiente de trabalho incrível, pessoas incríveis. 1 ano de aprendizado no iFood equivale a 2 ou 3 anos em qualquer outra empresa. Se não fosse o baixo salario, e a não valorização profissional, com certeza seria umas das melhores empresas para se trabalhar. Ótima, para inicio de carreira."," Tentam te convencer a trabalhar pelos benefícios, e ambiente com sinuca, cervejas e videogames, mas o salário é bem abaixo do mercado. Valorização profissional também deixa a desejar."," Tentam te convencer a trabalhar pelos benefícios, e ambiente com sinuca, cervejas e videogames, mas o salário é bem abaixo do mercado. Valorização profissional também deixa a desejar.",NI,NI,2018-01-28
601406,"
iFood
",2017-11-29,4,Sao Paulo,SP,"
Empresa onde você pode ser você mesmo
",Funcionário,Analista Júnior,Sim," Autonomia, ambiente muito bom, muita chance de desenvolvimento, as pessoas que trabalham lá, realmente são felizes e acreditam no que estão fazendo. A empresa tem um impacto muito positivo não só na vida dos usuários, mas também dos restaurantes. Além disso, as pessoas podem ser elas mesmas, pois não há barreiras de estilos ou pensamentos, e as pessoas podem se expressar."," Falta de “padronização” para algumas decisões que deveriqm ser mais padronizadas (mesma régua), principalmente quando se trata de pessoas...."," Falta de “padronização” para algumas decisões que deveriqm ser mais padronizadas (mesma régua), principalmente quando se trata de pessoas....",NI,NI,2018-01-28
599520,"
iFood
",2017-11-29,5,Jundiai,SP,"
Paixão por esse lugar =)
",Ex-funcionário,Inside Sales,NI," Um clima mega agradável, excelentes profissionais, líderes que são líderes de verdade (inspiradores e cativantes). Uma empresa que escuta as opiniões e sugestões das pessoas, merece 5 estrelas!"," Não encontrei pontos negativos. Saí da empresa pois tinha um projeto paralelo que tomou uma boa proporção e não estava conseguindo alinhar mais as duas coisas. Hoje já não participo mais o projeto e se pudesse, me candidataria 1000 vezes às vagas do IFood!"," Não encontrei pontos negativos. Saí da empresa pois tinha um projeto paralelo que tomou uma boa proporção e não estava conseguindo alinhar mais as duas coisas. Hoje já não participo mais o projeto e se pudesse, me candidataria 1000 vezes às vagas do IFood!",NI,NI,2018-01-28
596228,"
iFood
",2017-11-29,3,Sao Paulo,SP,"
Legal!
",Funcionário,Coordenador de Planejamento Financeiro,NI," Muitos desafios, muito crescimento, ambiente muito legal. Oportunidade criação e participação em diversos projetos, basta querer que será envolvido em muita coisa."," Bagunça organizacional. Estrutura muda o tempo inteiro, causando estresse nos times no sentido de qual direcionamento será seguido. Muita intervenção de investidores que não conhecem tanto do negócio mas ficam dando pitaco"," Bagunça organizacional. Estrutura muda o tempo inteiro, causando estresse nos times no sentido de qual direcionamento será seguido. Muita intervenção de investidores que não conhecem tanto do negócio mas ficam dando pitaco",NI,NI,2018-01-28
592099,"
iFood
",2017-11-29,4,Sao Paulo,SP,"
O iFood é único. Apesar dos pesares é o melhor lugar que já trabalhei!
",Funcionário,Analista de Infraestrutura Pleno,NI," Clima incrível, pessoas dedicadas, estímulo ao empreendedorismo, benefícios locais ótimos, metas agressivas e objetivas. Infraestrutura competente."," O iFood acerta no mais difícil e erra no mais fácil. O ambiente é incrível, tenho liberdade de horário e para desenvolver meu trabalho mas não sei onde chegar com tudo isso. Me sinto prezo à minha função na maioria das vezes e me sinto sobrecarregado todo o tempo. Fora isso, creio que tudo na empresa seja positivo, desde o processo seletivo até as festas!"," O iFood acerta no mais difícil e erra no mais fácil. O ambiente é incrível, tenho liberdade de horário e para desenvolver meu trabalho mas não sei onde chegar com tudo isso. Me sinto prezo à minha função na maioria das vezes e me sinto sobrecarregado todo o tempo. Fora isso, creio que tudo na empresa seja positivo, desde o processo seletivo até as festas!",NI,NI,2018-01-28
582606,"
iFood
",2017-10-30,5,Rio de Janeiro,RJ,"
Empresa muito boa para se trabalhar
",Funcionário,Assistente Operacional,Sim," Ambiente muito gostoso para se trabalhar, ótimos benefícios, ótimas festas, salário razoável, ambiente cooperativo desafiador, empresa com espirito jovem"," Carga horária puxada, falha nas comunicações entre setores, favorecimento de algumas pessoas, espaço físico muito pequeno para uma empresa tão grande."," Carga horária puxada, falha nas comunicações entre setores, favorecimento de algumas pessoas, espaço físico muito pequeno para uma empresa tão grande.",NI,NI,2018-01-28
579005,"
iFood
",2017-10-30,4,Jundiai,SP,"
Boa
",Funcionário,Analista,Sim," Empresa em amplo crescimento, ambiente agradável, pessoas bem sintonizadas quanto aos valores da Empresa. Possui um local de trabalho aconchegante aos funcionarios", Diferenças salariais entre membros da equipe e pouca oportunidade de crescimento. As pessoas normalmente não tem um plano de carreira. Salário abaixo do mercado, Diferenças salariais entre membros da equipe e pouca oportunidade de crescimento. As pessoas normalmente não tem um plano de carreira. Salário abaixo do mercado,NI,NI,2018-01-28
578841,"
iFood
",2017-10-30,5,Campinas,SP,"
Uma grande empresa com DNA de Startup
",Ex-funcionário,Machine Learning Analyst,NI," O iFood é uma empresa que foca em seus funcionários, bem-estar e aprendizado contínuo, além da flexibilidade de horário e de auto-gerenciamento. O ambiente de trabalho é um mini Google, e a alta capacidade técnica dos seus funcionários é um plus para quem busca crescer na carreira! Por fim, a cultura força sempre a buscar inovação, simplicidade, autonomia e aprendizado. Comemore sempre suas conquistas no iFood."," Talvez o único ponto negativo é o rítmo frenético e de como as demandas são cobradas. O lema é: Uma vez atingida a meta, triplique-a sempre. Então sempre vai demandar muito tempo pessoal, o que pode, uma vez ou outra, onerar outros pontos da sua vida."," Talvez o único ponto negativo é o rítmo frenético e de como as demandas são cobradas. O lema é: Uma vez atingida a meta, triplique-a sempre. Então sempre vai demandar muito tempo pessoal, o que pode, uma vez ou outra, onerar outros pontos da sua vida.",NI,NI,2018-01-28
578529,"
iFood
",2017-10-30,3,Sao Paulo,SP,"
Pode mellhorar
",Funcionário,Funcionário,Sim," A empresa preza pela qualidade de vida do funcionário, escritório bem equipado, flexibilidade de horários, agilidade na execução de projetos"," Ainda falta um plano de carreira para cada área, falta de comunicação interna, às vezes uma informação pertinente ao próprio trabalho não é repassada."," Ainda falta um plano de carreira para cada área, falta de comunicação interna, às vezes uma informação pertinente ao próprio trabalho não é repassada.",NI,NI,2018-01-28
575386,"
iFood
",2017-10-30,5,NI,NI,"
O melhor lugar onde trabalhei
",Funcionário,Diretor,Sim," Todos estão muito engajados, há um senso de pertencimento e equipe muito grande, a liderança é muito acessível, há muita oportunidade de crescimento, os escritórios são sensacionais e a gente pode ousar e inovar o tempo todo sem medo de errar."," Alguns processos ainda precisam ser melhorados e outros ainda estão para serem definidos. Outro ponto é que apesar de o escritório de São Paulo ser muito legal, claramente já não comporta mais a quantidade de funcionários."," Alguns processos ainda precisam ser melhorados e outros ainda estão para serem definidos. Outro ponto é que apesar de o escritório de São Paulo ser muito legal, claramente já não comporta mais a quantidade de funcionários.",NI,NI,2018-01-28
572365,"
iFood
",2017-10-30,4,Campinas,SP,"
Satisfeito
",Funcionário,Estagiário,Sim," Ambiente, liberdade de em tomar decisões, equipe unida, vontade de crescer, eventos internos, parcerias, localização, integração entre equipes"," Falhas na comunicação. Muita coisa é deixava de ser informada mesmo com a melhoria do plano de comunicação. Apesar de pontos da empresa começarem a ser melhores informados, as tomadas de decisão da liderança, ainda são falhas!"," Falhas na comunicação. Muita coisa é deixava de ser informada mesmo com a melhoria do plano de comunicação. Apesar de pontos da empresa começarem a ser melhores informados, as tomadas de decisão da liderança, ainda são falhas!",NI,NI,2018-01-28
569251,"
iFood
",2017-10-30,3,Jundiai,SP,"
Boa mais até certo ponto
",Funcionário,Funcionário,NI," Ambiente muito gostoso, ótimos benefícios diários, poucas pessoas boas, ótimas festas(já foi melhor?, salário razoável, ambiente cooperativo desafiador"," Falha de comunicação, ou comunicação cruzada ou seja muita fofoca, favorecimento em contratação, processos falhos, falta de oportunidade interna ou não reconhecimento"," Falha de comunicação, ou comunicação cruzada ou seja muita fofoca, favorecimento em contratação, processos falhos, falta de oportunidade interna ou não reconhecimento",NI,NI,2018-01-28
569247,"
iFood
",2017-10-30,5,Jundiai,SP,"
IFood I Love
",Funcionário,Supervisor Comercial,Sim," Oportunidade de crescimento. (não importa quanto tempo tenha de casa, se tiver vontade de crescer, você cresce). Reconhecimento: você é premiado, e parabenizado pelos feitos. Clima: São todos alinhados com os valores da empresa. E vira tudo uma grande familia.", Falta de comunicação muitas vezes atrapalha o dia a dia. Falta de estacionamento para os funcionários (isso é um pé no saco). Espaço físico não atende ao crescimento da empresa., Falta de comunicação muitas vezes atrapalha o dia a dia. Falta de estacionamento para os funcionários (isso é um pé no saco). Espaço físico não atende ao crescimento da empresa.,NI,NI,2018-01-28
569221,"
iFood
",2017-10-30,5,Jundiai,SP,"
Ótimo
",Funcionário,Analista de Experiência do Cliente,NI," Tudo é ótimo, ambiente, pessoas, chefes e a infraestrutura disponibilizada pela empresa e excelente."," Infelizmente a carga horária de trabalho não é muito boa, porém a empresa trabalha para melhorar neste aspecto."," Infelizmente a carga horária de trabalho não é muito boa, porém a empresa trabalha para melhorar neste aspecto.",NI,NI,2018-01-28
