postJob,company,city_state,date,descrip,dateColect,country,url
Postdoctoral Fellowship in Data and Network Science, CSIRO, – Brisbane, 1 days ago,"Are you passionate about making a difference using data and network science?Prestigious Postdoctoral Fellowship on offer - kick-start your research careerJoin CSIRO's Data61 - Australia's largest data innovation groupThe PositionPostdoctoral Fellowships at CSIRO provide opportunities to scientists and engineers who have completed their doctorate and have less than three years relevant postdoctoral work experience. These fellowships will help launch their careers, provide experience that will enhance their career prospects, and facilitate the recruitment and development of potential leaders for CSIRO.  Postdoctoral Fellows are appointed for up to three years or part time equivalent and will work closely with a leading Research Scientist or Engineer in their respective field. They carry out innovative, impactful research of strategic importance to CSIRO with the possibility of novel and important scientific outcomes. They present the findings in appropriate publications and at conferences.  The successful candidate will work on data and network science approaches to predicting the risk of disease spread in Australia, including infectious and vector-borne diseases. The project will use large national-scale datasets to understand people movement as a determinant of disease risk. Location: Pullenvale, QLD Salary: AU $80K - AU $91K plus up to 15.4% superannuation Tenure:  Specified Term of 3 years Reference:  54583 To be successful you will need:A doctorate (or will shortly satisfy the requirements of a PhD) in a relevant discipline area, such as Data Science, Network Science, or Statistical Physics. Please note:To be eligible for this role you must have no more than 3 years of relevant postdoctoral experience.Demonstrated experience in data science, network science, and/or mobility modelling.Demonstrated experience in agent-based simulations and machine learning approaches.Demonstrated ability to extract meaningful insights from large and complex datasets, and to think analytically and creatively in identifying emergent patterns.Demonstrated ability to program in Matlab, python, or similar.The ability to work effectively as part of a multi-disciplinary, regionally dispersed research team, plus the motivation and discipline to carry out autonomous research.A record of science innovation and creativity, plus the ability & willingness to incorporate novel ideas and approaches into scientific investigations.Before applying, we encourage you to read the full position description for this role. This document can be viewed at: Position details documentWho we are: The Commonwealth Scientific and Industrial Research Organisation (CSIRO)  At CSIRO, we do the extraordinary every day. We innovate for tomorrow and help improve today - for our customers, all Australians and the world. We imagine. We collaborate. We innovate.  We work flexibly at CSIRO, offering a range of options for how, when and where you work. Talk to us about how this role could be flexible for you. Find out more! CSIRO Balance How to Apply: To apply, please provide a CV as well as a cover letter addressing the selection criteria in brief, and upload these as one document. If your application proceeds to the next stage you may be asked to provide additional information. Applications Close: Applications will close 10:59pm (AEST) on Sunday 18th February 2018. ",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=55938&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_afeb192d&cb=1516666741908&jobListingId=2642961406
Big Data Software Engineer, Telstra, – Melbourne, 1 days ago," The world around us is changing, and hopefully you've noticed that Telstra is changing too. We're putting the customer at the centre of everything we do, and we need your help to do that.  We want people who are driven to succeed, learn quickly, take pride in the job they do, and have the desire to step into the future with us.  We have an exciting opportunity for a Software Engineer to join our cross-functional, multi-disciplinary Big Data team. In this role, you will work with the rest of the team across the full lifecycle of developing and deploying insightful data products using Big Data tools and techniques, with particular focus on designing and building streamlined data pipelines, applications and frameworks, and APIs. Key responsibilities will include:Work collaboratively with diverse stakeholders across Telstra to clearly identify significant business challenges that can be addressed with Big Data analytical techniquesParticipate in the translation of business problems into clear experimental designs that can be addressed quantifiably with available Big Data datasets and tools including input into business cases as requiredLead / participate in the scoping and implementation of programs of work to deliver full lifecycle Big Data analytics to channelContribute to the design, development and curation of key Big Data assets and data productsCommunicate findings to business and technical audiences, internal and external stakeholdersDevelop best practices for data collection, processing and structuring and communicate those to solution delivery and support teamsEnable automation of builds, testing, and deployment – adopting DevOps practicesPartner closely with business analysts, data scientists, and data engineers to:Develop frameworks and patterns that will enable operationalization of processes employing advanced analyticsIdentify data sources relevant to solving business problems To be considered for this opportunity, you will have strong coding skills in a data intensive environment, and have the ability to manipulate and analyse complex, high-volume, high-dimensionality data from varying sources. You will also have the following experience: You will be familiar with machine learning concepts and tools – for example, supervised learning techniques such as linear and logistic regression, and machine learning tools such as Spark MLlib, H20, R, scikit-learn, Torch, or TensorFlow.You will have experience in building API servers and API engines (eg GemFire, Nginx)Solid knowledge of agile software engineering technical practices, such as test-driven development, and continuous integration / continuous development.You will be comfortable discussing technical concepts with non-technical audiences and working with data scientists to elicit and document specifications, and estimate work.You will have experience working effectively in multi-functional teams, strong communication skills, and be able to demonstrate your commitment to lifelong learning. If you're looking to take the next step in your career, then please connect with what you love and apply today! We’re committed to building a diverse and inclusive workforce. To enable everyone to participate, we’ve developed an ‘All Roles Flex’ policy to consider flexible ways of working for every role. To learn more, visit tel.st/allrolesflex Apply Now",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=4120&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0ee53979&cb=1516666741909&jobListingId=2642872276
Data Engineer - 1-2 years experiece, EY, – Melbourne, 8 days ago,"About us EYC3 is the data and advanced analytics capability within EY Asia-Pacific working in multiple sectors including financial services, government & public sector, energy, mining & metals, and consumer products. We have more than 250 specialist staff in Australia, New Zealand, Singapore, Hong Kong, Korea, The Philippines and Malaysia.EYC3 creates intelligent client organizations using data & advanced analytics. We implement information-driven strategies and systems that help grow, optimize and protect client organizations, and create a lasting culture that encourages people to use information creatively and intelligently to improve business outcomes. We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business analysts, data scientist, big data engineers, developers and consultants in the region.We’re looking for a junior data engineer keen to learn and grow within our big data and analytics team. We’re looking for someone that might have conquered a Kaggle.com project or has a Github profile or maybe even has participated in a hackathon or two. This is a great opportunity for a recent grad or someone with 1-2 years’ experience working to get hands on experience within the big data and analytics space.You’ll be surrounded by some of the best and brightest in the industry in an environment that encourages collaboration and continuous learning.We’re happy to train and grow your skills but we’re expecting you to have strong SQL skills and have some exposure to software development languages such as Java, Python or Scala. Any exposure and self-study around Hadoop or Azure platforms would be highly regarded.About youTo qualify for a this position, you must have:A passion for data, analytics and software developmentStrong SQL skillsExposure to big data environments such as Hadoop or Azure etcSoftware development experience in Scala, Python or JavaSelf-learner / problem solver / a love for learning new technologiesWhat you will getWork with one the biggest international BrandsExcellent salary package plus benefits – such as laptop and phoneTravel opportunitiesExposure and experience working with the following technologies: Big data, Tableau, Internet of things, Advanced analytics, Segmentation, Analysis, Data Warehousing, Information Management, Strategy, Insights, R, Statistics, Data modelling, Hadoop, spark, Cloud and many moreFor a career move that expands your horizons, apply today and join a firm that is committed to building an inclusive culture that supports a diverse workforce, helping you to gain experiences that will set you up for a lifetime. Apply now Across every part of EY, we dig deeper in pursuit of better working. Does better begin with you? Click apply online to find out. The preferred applicant will be subject to employment screening by Ernst & Young or by their external third party provider.  © 2015 Ernst & Young Australia. All Rights Reserved.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=254319&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9226aaa2&cb=1516666741909&jobListingId=2636867421
"Field Applications Scientist 1, Australia (6 Months Contract)", Illumina, – Melbourne, 27 days ago,"Position Summary: As Field Application Scientist you will provide applications support (installation, system validation, customer training) to customers in Australia using Illumina's high throughput sequencing and array systems. All About YouTasks and Responsibilities:Coordinating and executing on installations including facility inspections, instrument validation, and customer trainingTroubleshooting issues related to experimental design, software and instrumentsDeveloping and maintaining positive relationships with customersSupporting sales efforts through technical presentations and customer managementActing as a key contributor of customer feedback to marketing and product development teamsDeveloping and improving key company processes that support our mission of building a world-class customer support organization All listed tasks and responsibilities are deemed as essential functions to this position; however, business conditions may require reasonable accommodations for additional task and responsibilities. Preferred Education:PhD in Genetics, Molecular Biology or Bioinformatics required, OR M.S. +3 years of relevant experiencePreferred Experience:3-5 years biotech experience preferredPrior field experience supporting customers using sequencing technologies preferredDemonstrated understanding of sequencing data analysis software applications preferredDemonstrated experience with next generation sample preparation technologies and protocols preferredExperience in clinical next-generation sequencing applications preferredDemonstrated experience with instrumentation such as liquid handling robotics and optical scanners preferredOutstanding problem solving and interpersonal skillsDemonstrated high-level written and verbal communicationClear vision of and commitment to providing outstanding customer serviceMust be willing to travel up to 50% Illumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=193286&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_25c08bb0&cb=1516666741910&jobListingId=2621420930
Graduate Environmental Engineer/Scientist, AECOM, – Adelaide, 10 days ago,"Business Line Graduates / Interns Position Title Graduate Environmental Engineer/Scientist - Adelaide  Australia - South Australia  Adelaide Job SummaryMake Amazing Happen! An outstanding opportunity to join a Global Leader awaits a passionate and goal oriented Graduate. We are seeking enthusiastic, customer focussed graduates to support our business to deliver excellence to our clients. You will have the opportunity to work on signature projects whilst continuing to grow and develop your knowledge in your chosen field.  Our team is seeking an enthusiastic graduate who is interested in developing their skills. We are looking for an agile individual who loves problem solving and has an excellent approach to client/customer service. As part of an international, multi-disciplinary organisation, you will have the opportunity to work on a range of projects.  AECOM Adelaide's Environmental group is the lead provider of contaminated land assessment, impact assessment and remediation services in SA. AECOM provides environmental services across all market sectors including oil and gas, defence, government, mining, manufacturing, energy, waste and land development. AECOM provides a flexible working environment for all staff and is an Equal Opportunity Employer. Your development Our Growing Professional Skills (GPS) graduate program is designed to help you bridge the gap between formal education and the workplace. The GPS program is spread across three years and comprises a range of core competencies and recommended training. As part of the program, we work with you to develop a plan, outlining your goals and required actions, and provide training that will be reviewed every six months.  Along with local site visits, technical seminars, and internal and external training, AECOM connects you with local and global teams to source knowledge and experience, which creates an invaluable network that helps you learn, grow, and develop your professional skills.  As an added incentive, your involvement in the GPS program is fully endorsed for those seeking Professional accreditation. If you decide to do additional study, we will help you examine your options and identify particular fields of specialisation to support your career. Minimum RequirementsKey ResponsibilitiesAssist team and project managers by developing good working relationships with clients during the delivery of projectsDevelop good relations with your team and other teams across multiple business areas and locationsUndertake internal training and work towards accreditation relevant to your professionInvolvement in all stages of contaminated land projects, including site history investigations, analysing data gaps, sampling & analysis planning, field investigation of soil, waters and vapour, validating data, developing conceptual site models, supporting risk assessments, management plans and remedial worksProcessing, interpreting and reporting of field and laboratory dataPreferred QualificationsA Bachelor of Environmental Science or Engineering0-2 years' experienceA genuine interest in a career in the contaminated land spaceExcellent written and verbal communication skillsDemonstrated time management and organisational skillsA strong sense of commitment, a willingness to learn, and a desire to work in a dynamic deadline drive environmentQuality and productivity in execution of duties and responsibilities as outlined aboveAbility to work away on site and interstate occasionallyBenefits at AECOM The Workplace Gender Equality Agency (WGEA) recognises AECOM as taking a sophisticated, holistic approach to supporting women and men's participation throughout our workplace.  We provide a diverse and inclusive work environment and offer many benefits to ensure your professional development & wellbeing. Flexible start and finish times, working from home, part time and job share options;State of the art, modern and contemporary offices;Paid parental and partner leave;Purchased additional annual leave + salary packaging;Corporate Employee discounts from up to 400 retailers;Wellbeing benefits eg. Vaccinations, health insurance discounts;Employee stock purchase plans;Study assistance;Professional and technical development opportunitiesWhat We Offer AECOM is a place where you can put your innovative thinking and business skills into high gear and work alongside other highly intelligent and motivated people. It's a place where you can apply your skills to some of the world's most challenging, interesting, and meaningful projects worldwide. It's a place that values the diversity of our areas of practice and our people. It's what makes AECOM a great place to work and grow. AECOM is an Equal Opportunity Employer. Job Category Engineering Country Australia Position Status Full-Time Requisition/Vacancy No. 174953BR",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=215939&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a487013f&cb=1516666741911&jobListingId=2614223229
Research Scientist in Applied Statistics, CSIRO, – Brisbane, 6 days ago,"Are you passionate about statistics and applied mathematics?Join CSIRO Data61 - Australia's largest data innovation groupUtilise statistical research in sustainable marine conservation and developmentThe Position The role of Research Scientist Staff in CSIRO is to conduct innovative research leading to scientific achievements that are aligned with CSIRO's strategies. You may be engaged in scientific activity ranging from fundamental research to the investigation of specific industry or community problems. You will have the opportunity to build and maintain networks, play a lead role in securing project funds, provide scientific leadership and pursue new ideas and approaches that create new concepts.  We are seeking a talented statistician to take an exciting role in our team in Brisbane. The successful candidate will be working on a range of problems in natural resource management, particularly in marine and coastal applications. The CSIRO through DATA61 is seeking to deepen its abilities to undertake statistical research to underpin sustainable marine conservation and development. Areas of research include design and analysis of marine monitoring programs and spatio-temporal modelling.  The work is multi-disciplinary, with staff from DATA61, and collaborators from other CSIRO Business Units. The work is expected to be delivered directly to clients, and through CSIRO Oceans & Atmosphere.  There is also the opportunity to develop work in other areas aligned with the research agenda of the broader DATA61 Data Analytic Research Group which has key capabilities that include: Monitoring and survey design,Spatio-temporal modelling and prediction,Statistical modelling and computation,Hierarchical frameworks to integrate data, empirical and process models, and represent uncertainty.To view the full position description and selection criteria for this role please click here: Position details documentLocation: Brisbane, QLD Salary: AU $95K - AU $103K plus up to 15.4% superannuation Tenure: Specified Term of 3 years Ref No.: 48043 To be successful you will need:A doctorate (or masters with equivalent skills and experience) in a statistics or relevant discipline area such as applied mathematics.Demonstrated high-level understanding of applied statistics, including spatio-temporal modelling and survey / monitoring design methods.A track record of applying statistical science to real-world or applied problems.Strong programming skills (e.g. R, Python or equivalent) to undertake customised statistical data analyses.A record of science innovation and creativity, plus the ability & willingness to incorporate novel ideas and approaches into scientific investigations.The ability to work effectively as part of a multi-disciplinary, regionally dispersed research team, plus the motivation and discipline to carry out autonomous research.High-level written and oral communication skills with the ability to represent the research team effectively internally and externally, including at national and international conferences, and through publishing in quality, peer reviewed journals.AT CSIRO WE DO THE EXTRAORDINARY EVERY DAY We innovate for tomorrow and help improve today – for our customers, all Australians and the world.  We imagine. We collaborate. We innovate.  We work flexibly at CSIRO, offering a range of options for how, when and where you work. Talk to us about how this role could be flexible for you. Find out more! CSIRO Balance How to apply: To apply for this position you will be required to submit your resume and cover letter, as one document, highlighting your experience as relevant to the role requirements. Applications Close: Applications will remain open until filled.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=55938&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_78099296&cb=1516666741912&jobListingId=2639146709
Intermediate Project Technician/Scientist, WSP, – Avenue, 3 days ago," WSP is looking for a motivated Intermediate Project Technician/Scientist to work with the Environmental Management Team to provide support for ongoing and new environmental assessment, reclamation and remediation projects. The position is to be staffed in Calgary with work locations throughout Alberta.  Key responsibilities will include office and field work, and oversight of junior to intermediate personnel in completion of projects, with a focus on upstream oil and gas clientele. Experience in making technical recommendations, completing budgeting and estimates, tracking cost, and managing all field components of projects is necessary. The ideal candidate will have a background in upstream oil and gas reclamation and remediation projects including Detailed Site Assessments, Reclamation Certificate Applications, Phase 1, 2 and 3 ESAs and groundwater sampling with demonstrated experience in leading field programs. The role will potentially blend field and office duties and will require travel within Western Canada for trips and assignments. This is a key assignment for the right individual, to provide support and growth of our Environmental Management group in Alberta.  This position is important to the success of our firm and requires a commitment to promote our values, as well as achieving technical goals. RESPONSIBILITIES Development and execution of site-specific assessment, remediation and reclamation projects across Alberta Communication with clients, government and stakeholders regarding environmental issues related to industry and oil and gas production Preparation of budgets, cost-tracking and project status reports Application of current regulatory criteria Preparation and review of technical reports Supervision of project technicians, contractors and other field personnel Collect necessary and pertinent field data according to industry standards and WSP protocol and procedures Research, evaluate, analyze and synthesize information Prepare and conduct peer reviews on WSP standard and government documents and reports Ensure implementation of corporate and client safety programs on all projects Unsupervised performance of field assignments as authorized by Project and Group Managers Liaise with laboratories, contractors, and other service providers as required Other duties as assigned/required QUALIFICATIONS University degree in environmental science or related discipline 5 to 10 years of upstream oil and gas consulting experience Membership with an applicable professional association An enthusiastic attitude and team spirit Excellent written and communication skills The desire to succeed in a dynamic, progressive organization  Offers of employment for safety-sensitive positions involving fieldwork are contingent upon candidates being able to perform key physical tasks of the job as described in the job posting and interview. This may include the ability to work in a variety of environmental conditions, such as remote or isolated areas, working alone, and in inclement weather (within safe and reasonable limits).  To learn more about our firm and the projects we have been involved in, please visit our World of Possibilities microsite. WSP welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.WSP is committed to the principles of employment equity. Only the candidates selected will be contacted. Company: WSP Canada Inc.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=3949&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_be05c0d5&cb=1516666741913&jobListingId=2572099529
Big Data Database Administrator, The Trade Desk, – Sydney, 26 days ago," We are looking to hire a Big Data Database Administrator who will work in collaboration with our engineering team to ensure aligned execution of database related activities. You enjoy investigating database problems, performance issues, and evaluating best practices to ensure optimal performance on the platform.  Recently named one of the top 10 most promising companies in America by Forbes Magazine and one of the ""Best Places To Work"" in the nation by Outdoor Magazine, The Trade Desk offers a culture of ""relaxed intensity"" one that comes from working alongside one of the most talented teams in our industry, and leading in a race that is ours to lose. KEY DAY TO DAY RESPONSIBILITIES:Provide day-to-day support and maintenance for Vertica databases for our platform. This includes, but is not limited to: administration, analysis, support, proactive monitoring, troubleshooting, recoverability, security, installation, and designInvestigating potential problems and issues raised by usersMonitoring database events and continuously optimizing system performance through troubleshooting and tuningWork with engineering team to automate reactive procedures and promote rapid response to database issuesMaintaining database configurations in compliance with established best practicesDesigning and implementing systems, policies, and procedures for backup and disaster recoveryMonitoring ongoing capacity and implement design and architecture changes as needed to improve global availabilityInstalling upgrades and patches to existing database serversDesigning and developing database code as neededReviewing and establishing database migration patterns and weekly release scriptsParticipating in on-call rotationsREQUIREMENTS:5+ years of Database Administration experience supporting mission critical relational databasesConsiderable experience and knowledge of Vertica Analytic Database. Equivalent experience with other MPP SQL technologies like Greenplum, Teradata, Netezza, or even open source may be acceptable alternatives for the right candidateProficiency with OLAP Database EnvironmentsFull systems lifecycle experience (from requirements to delivery) of database projectsExperience designing, building, installing, configuring, supporting, and maintaining high-volume, large database systemsTop-notch troubleshooting and analytical problem-solving skillsExperience with database design and management aspects for various compliance programs, such as Sarbanes-Oxley or PCI, is a big plusExcellent written and verbal communication skills, with a demonstrated ability to document complex technical problemsAbility to work effectively in a team environment, as well as independently with limited supervision The Trade Desk does not accept unsolicited resumes from search firm recruiters. Fees will not be paid in the event a candidate submitted by a recruiter without a contract in place is hired; such resumes will be deemed the sole property of The Trade Desk. The Trade Desk is an equal opportunity employer. All aspects of employment will be based on merit, competence, performance, and business needs. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=290197&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ec64fcaf&cb=1516666741914&jobListingId=2552592271
Senior Data Analyst, Victorian Government, – Melbourne, 11 days ago," Are you a hard-working, collaborative, objective and respectful team player with sharp analytical skills who wants to learn more about Vocational Education and Training? If so, you are encouraged to apply for this role, that sits in the Training Market Quality (TMQ) Division, Higher Education and Skills Group.  This is a rare opportunity for a data specialist to join and immediately contribute to the work of a small and specialised team undertaking key work to support and shape the Victorian VET system. Part of this work will involve (but would not be limited to):creating new monitoring tools and reports, improving the way VET is understood both inside Victoria and nationally, communicating these findings internally and externally, and helping to turn these findings into either policy or contractual action. Senior Data Analyst TMQ seeks to ensure that the public funding provided to Registered Training Organisations (RTOs) on behalf of Victorian students gives those students the best chance of getting a job or pursuing further education and allows them to more fully participate in society.  TMQ leverages the significant public investment in training and the VET Contract to encourage a subsidised training market in which students are able to choose from a range of training providers delivering high quality training in line with Victorian Government expectations and national regulatory standards.  As a result of the Skills First reforms and the Government's Response to the Review of Quality Assurance in Victoria's VET System (the Quality Review), TMQ has broadened its focus to include quality assurance alongside funding, contractual compliance and integrity of providers.  This role would suit a highly motivated individual seeking to further their career. This role will require strong coordination skills, ability to think independently and contribute to policy discussions. The role can be challenging and at times demanding and therefore requires someone that can cope under pressure and a heavy workload.  Specifically, this role assists in the day-to-day management and support of critical business systems supporting the management of the Victorian Government subsidised Vocational Education and Training (VET) sector. The key responsibilities are: provide technical leadership and apply data analysis skills to ensure quality of data submission by contracted Registered Training Organisations;provide technical leadership on metrics and reports to assist in quality management of VET providers;enable the provision of accurate and timely reports to key business users;improve and develop risk analysis metrics to inform key business decisions;manage risks associated with the business systems, and lead projects to improve business systems; andmanage stakeholder relationships supporting project implementation. For more details regarding this position please see attached position description.  Department of Education and Training is committed to diversity. The Department places considerable effort and resources into responding to the needs of staff with a disability. People from disadvantaged groups are encouraged to apply for this position. Information about the Department of Education and Training's operations and employment conditions can be obtained from the following websites:www.education.vic.gov.au and http://www.education.vic.gov.au/hrweb/Pages/default.aspx. Applications close Thursday 25 January 2018",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=4120&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_67816455&cb=1516666741915&jobListingId=2633581948
Environmental Scientist - Contaminated Land, Jacobs, – North Sydney, 7 days ago," Jacobs is one of the world’s leading providers in technical, professional and construction services. Our client portfolio includes industrial, commercial, and government clients across multiple markets and geographies. About the opportunity Jacobs contaminated land consultants are highly respected within the industry. The team delivers complex, technically challenging, brownfield site regeneration projects to local and national clients. These clients include: developers, construction contractors, utilities, industry, airports, state and federal government sectors.  A vacancy has become available for an Environmental Scientist or Engineer to join our Sydney team and assist with the current pipeline of projects. Reporting to the Section Leader – Environmental Sciences, this role will also be required to work closely with other team members across the business to deliver projects.  The role will involve a wide range of projects including: preliminary and detailed site investigations;design, supervision and validation of remediation programs;human health and ecological risk assessment;waste classification; and,design, management and delivery of monitoring programs.About youWe are seeking talented and ambitious candidates who are looking to further develop their expertise in a global consultancy environment. The candidate will also bring with them:Relevant qualifications in environmental science or environmental engineering;Demonstrated experience in contaminated land field investigations and reporting under the National Environment Protection (Assessment of Site Contamination) Measure;Competency in the use of ESdat and gINT for management of geo-environmental data;A team player and strong collaboration skillsRegional and interstate travel maybe required to deliver services as part of a national team.Why Jacobs At Jacobs we offer rewarding careers with ongoing development opportunities, flexible working arrangements and a culture that is collaborative and inclusive. We recognise that diversity of thinking strengthens our ability to deliver innovative solutions to our clients. Therefore we encourage applications from people of diverse backgrounds.  Achieve more with a global brand.  Please note: If you are being represented by a recruitment agency you will not be considered, to be considered you will need to apply directly to Jacobs.",2018-01-22,australia,https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=43297&s=58&guid=000001612061e37d934739075ffc6315&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1af9e91c&cb=1516666741916&jobListingId=2637532169
